date,ticker,product,month_code,contract_year,px
2012-06-01,HOM13 Comdty,HO,M,2013,2.8945
2012-06-04,HOM13 Comdty,HO,M,2013,2.963
2012-06-05,HOM13 Comdty,HO,M,2013,3.0120999999999998
2012-06-06,HOM13 Comdty,HO,M,2013,3.0237
2012-06-07,HOM13 Comdty,HO,M,2013,3.0183999999999997
2012-06-08,HOM13 Comdty,HO,M,2013,3.057
2012-06-11,HOM13 Comdty,HO,M,2013,2.9983999999999997
2012-06-12,HOM13 Comdty,HO,M,2013,2.9289
2012-06-13,HOM13 Comdty,HO,M,2013,2.8831
2012-06-14,HOM13 Comdty,HO,M,2013,2.8404000000000003
2012-06-15,HOM13 Comdty,HO,M,2013,2.8444
2012-06-18,HOM13 Comdty,HO,M,2013,2.8348
2012-06-19,HOM13 Comdty,HO,M,2013,2.8574
2012-06-20,HOM13 Comdty,HO,M,2013,2.8415
2012-06-21,HOM13 Comdty,HO,M,2013,2.8613
2012-06-22,HOM13 Comdty,HO,M,2013,2.8618
2012-06-25,HOM13 Comdty,HO,M,2013,2.8301999999999996
2012-06-26,HOM13 Comdty,HO,M,2013,2.7847000000000004
2012-06-27,HOM13 Comdty,HO,M,2013,2.7344
2012-06-28,HOM13 Comdty,HO,M,2013,2.7154000000000003
2012-06-29,HOM13 Comdty,HO,M,2013,2.741
2012-07-02,HOM13 Comdty,HO,M,2013,2.7176
2012-07-03,HOM13 Comdty,HO,M,2013,2.7239999999999998
2012-07-05,HOM13 Comdty,HO,M,2013,2.7152
2012-07-06,HOM13 Comdty,HO,M,2013,2.6919
2012-07-09,HOM13 Comdty,HO,M,2013,2.7425
2012-07-10,HOM13 Comdty,HO,M,2013,2.75
2012-07-11,HOM13 Comdty,HO,M,2013,2.7702
2012-07-12,HOM13 Comdty,HO,M,2013,2.8051999999999997
2012-07-13,HOM13 Comdty,HO,M,2013,2.8062
2012-07-16,HOM13 Comdty,HO,M,2013,2.8133999999999997
2012-07-17,HOM13 Comdty,HO,M,2013,2.8456
2012-07-18,HOM13 Comdty,HO,M,2013,2.847
2012-07-19,HOM13 Comdty,HO,M,2013,2.8869
2012-07-20,HOM13 Comdty,HO,M,2013,2.8885
2012-07-23,HOM13 Comdty,HO,M,2013,2.9067000000000003
2012-07-24,HOM13 Comdty,HO,M,2013,2.8787000000000003
2012-07-25,HOM13 Comdty,HO,M,2013,2.8841
2012-07-26,HOM13 Comdty,HO,M,2013,2.8866
2012-07-27,HOM13 Comdty,HO,M,2013,2.8723
2012-07-30,HOM13 Comdty,HO,M,2013,2.9123
2012-07-31,HOM13 Comdty,HO,M,2013,2.8337
2012-08-01,HOM13 Comdty,HO,M,2013,2.8382
2012-08-02,HOM13 Comdty,HO,M,2013,2.8586
2012-08-03,HOM13 Comdty,HO,M,2013,2.8161
2012-08-06,HOM13 Comdty,HO,M,2013,2.8528
2012-08-07,HOM13 Comdty,HO,M,2013,2.8284
2012-08-08,HOM13 Comdty,HO,M,2013,2.8167
2012-08-09,HOM13 Comdty,HO,M,2013,2.86
2012-08-10,HOM13 Comdty,HO,M,2013,2.8758999999999997
2012-08-13,HOM13 Comdty,HO,M,2013,2.8657999999999997
2012-08-14,HOM13 Comdty,HO,M,2013,2.8771
2012-08-15,HOM13 Comdty,HO,M,2013,2.8882
2012-08-16,HOM13 Comdty,HO,M,2013,2.8889
2012-08-17,HOM13 Comdty,HO,M,2013,2.8939
2012-08-20,HOM13 Comdty,HO,M,2013,2.8876
2012-08-21,HOM13 Comdty,HO,M,2013,2.8611
2012-08-22,HOM13 Comdty,HO,M,2013,2.8560000000000003
2012-08-23,HOM13 Comdty,HO,M,2013,2.8451
2012-08-24,HOM13 Comdty,HO,M,2013,2.8122000000000003
2012-08-27,HOM13 Comdty,HO,M,2013,2.8160000000000003
2012-08-28,HOM13 Comdty,HO,M,2013,2.8657
2012-08-29,HOM13 Comdty,HO,M,2013,2.8495999999999997
2012-08-30,HOM13 Comdty,HO,M,2013,2.8552999999999997
2012-08-31,HOM13 Comdty,HO,M,2013,2.8758
2012-09-04,HOM13 Comdty,HO,M,2013,2.8331
2012-09-05,HOM13 Comdty,HO,M,2013,2.8366000000000002
2012-09-06,HOM13 Comdty,HO,M,2013,2.845
2012-09-07,HOM13 Comdty,HO,M,2013,2.8566000000000003
2012-09-10,HOM13 Comdty,HO,M,2013,2.8386
2012-09-11,HOM13 Comdty,HO,M,2013,2.8568000000000002
2012-09-12,HOM13 Comdty,HO,M,2013,2.862
2012-09-13,HOM13 Comdty,HO,M,2013,2.8685
2012-09-14,HOM13 Comdty,HO,M,2013,2.8952999999999998
2012-09-17,HOM13 Comdty,HO,M,2013,2.9048000000000003
2012-09-18,HOM13 Comdty,HO,M,2013,2.9043
2012-09-19,HOM13 Comdty,HO,M,2013,2.9326999999999996
2012-09-20,HOM13 Comdty,HO,M,2013,2.9217
2012-09-21,HOM13 Comdty,HO,M,2013,2.897
2012-09-24,HOM13 Comdty,HO,M,2013,2.9133
2012-09-25,HOM13 Comdty,HO,M,2013,2.9347000000000003
2012-09-26,HOM13 Comdty,HO,M,2013,2.9265
2012-09-27,HOM13 Comdty,HO,M,2013,2.9307
2012-09-28,HOM13 Comdty,HO,M,2013,2.9160000000000004
2012-10-01,HOM13 Comdty,HO,M,2013,2.9217
2012-10-02,HOM13 Comdty,HO,M,2013,2.9173
2012-10-03,HOM13 Comdty,HO,M,2013,2.9185000000000003
2012-10-04,HOM13 Comdty,HO,M,2013,2.9268
2012-10-05,HOM13 Comdty,HO,M,2013,2.9198000000000004
2012-10-08,HOM13 Comdty,HO,M,2013,2.9267000000000003
2012-10-09,HOM13 Comdty,HO,M,2013,2.9367
2012-10-10,HOM13 Comdty,HO,M,2013,2.9298
2012-10-11,HOM13 Comdty,HO,M,2013,2.9048000000000003
2012-10-12,HOM13 Comdty,HO,M,2013,2.9530000000000003
2012-10-15,HOM13 Comdty,HO,M,2013,2.9562
2012-10-16,HOM13 Comdty,HO,M,2013,2.9662
2012-10-17,HOM13 Comdty,HO,M,2013,2.9873000000000003
2012-10-18,HOM13 Comdty,HO,M,2013,3.0069
2012-10-19,HOM13 Comdty,HO,M,2013,3.0452999999999997
2012-10-22,HOM13 Comdty,HO,M,2013,3.0232
2012-10-23,HOM13 Comdty,HO,M,2013,3.0312
2012-10-24,HOM13 Comdty,HO,M,2013,3.0143
2012-10-25,HOM13 Comdty,HO,M,2013,2.9614
2012-10-26,HOM13 Comdty,HO,M,2013,2.9399
2012-10-29,HOM13 Comdty,HO,M,2013,2.9343
2012-10-30,HOM13 Comdty,HO,M,2013,2.9446
2012-10-31,HOM13 Comdty,HO,M,2013,2.9062
