date,vintage,rb_jun,ho_jun,rb_dec,ho_dec,spread_bbl
2012-06-01,2013,3.0326999999999997,2.8945,2.889,2.9545,8.555399999999999
2012-06-04,2013,3.1033999999999997,2.963,2.9558999999999997,3.0147000000000004,8.366400000000011
2012-06-05,2013,3.1501,3.0120999999999998,3.0183,3.0811,8.433600000000023
2012-06-06,2013,3.137,3.0237,3.0153,3.0927999999999995,8.013599999999993
2012-06-07,2013,3.1283999999999996,3.0183999999999997,3.0186,3.0963,7.88339999999998
2012-06-08,2013,3.1801999999999997,3.057,3.0495,3.1294999999999997,8.534399999999973
2012-06-11,2013,3.1192,2.9983999999999997,2.9995,3.083,8.580600000000034
2012-06-12,2013,3.0564999999999998,2.9289,2.9301,3.0117000000000003,8.786400000000002
2012-06-13,2013,3.0178,2.8831,2.8638,2.9387,8.803199999999983
2012-06-14,2013,2.9783,2.8404000000000003,2.8301999999999996,2.8983,8.651999999999997
2012-06-15,2013,2.983,2.8444,2.8501,2.9112999999999998,8.391600000000007
2012-06-18,2013,2.9677999999999995,2.8348,2.8494,2.9066,7.988399999999978
2012-06-19,2013,2.9811,2.8574,2.8606,2.9288,8.0598
2012-06-20,2013,2.9461,2.8415,2.8482,2.9221,7.497000000000004
2012-06-21,2013,2.9608999999999996,2.8613,2.8750999999999998,2.9493,7.299599999999998
2012-06-22,2013,2.9607,2.8618,2.8718,2.9449,7.224000000000006
2012-06-25,2013,2.9295,2.8301999999999996,2.844,2.9227999999999996,7.480200000000006
2012-06-26,2013,2.8727,2.7847000000000004,2.7555,2.8480000000000003,7.580999999999995
2012-06-27,2013,2.8150999999999997,2.7344,2.6830000000000003,2.7841000000000005,7.635599999999998
2012-06-28,2013,2.7958,2.7154000000000003,2.6254000000000004,2.7321,7.8581999999999645
2012-06-29,2013,2.8063,2.741,2.642,2.7497000000000003,7.266000000000002
2012-07-02,2013,2.7722,2.7176,2.6129000000000002,2.722,6.875399999999998
2012-07-03,2013,2.7683999999999997,2.7239999999999998,2.6082,2.7213,6.6149999999999896
2012-07-05,2013,2.7802999999999995,2.7152,2.61,2.7201999999999997,7.362599999999982
2012-07-06,2013,2.7568,2.6919,2.5683,2.6762,7.257600000000021
