vintage,expiry_date,expected_expiry,matches,gap_bdays
2013,2013-05-31,2013-05-31,True,0
2014,2014-05-30,2014-05-30,True,0
2015,2015-05-29,2015-05-29,True,0
2016,2016-05-31,2016-05-31,True,0
2017,2017-05-31,2017-05-31,True,0
2018,2018-05-31,2018-05-31,True,0
2019,2019-05-31,2019-05-31,True,0
2020,2020-05-29,2020-05-29,True,0
2021,2021-05-28,2021-05-28,True,0
2022,2022-05-31,2022-05-31,True,0
2023,2023-05-31,2023-05-31,True,0
2024,2024-05-31,2024-05-31,True,0
2025,2025-05-30,2025-05-30,True,0
2026,2026-05-29,2026-05-29,True,0
