tdays_to_expiry,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,mean,median,min,max
0,5.451599999999978,13.083000000000023,3.212999999999991,9.311399999999992,5.430600000000007,4.582200000000008,4.275599999999995,-3.6833999999999865,8.437800000000014,6.60240000000002,9.349199999999996,9.601200000000006,13.931399999999986,10.298399999999985,,7.134600000000001,7.520100000000017,-3.6833999999999865,13.931399999999986
1,5.119799999999986,13.246799999999958,3.582599999999969,9.513000000000005,5.552400000000022,4.464599999999984,4.972799999999984,-4.326,8.043000000000019,7.1862,9.055199999999992,10.029600000000034,13.490399999999969,10.495799999999992,,7.173299999999993,7.61460000000001,-4.326,13.490399999999969
2,5.3214000000000015,12.973799999999999,3.4734,10.348799999999997,5.3424000000000085,4.14120000000001,5.124000000000014,-4.632600000000004,7.979999999999998,6.972000000000015,8.236199999999997,10.227000000000002,13.687799999999994,10.609200000000016,,7.128900000000003,7.476000000000006,-4.632600000000004,13.687799999999994
3,6.052199999999977,13.099800000000004,3.0911999999999953,8.492399999999996,5.329799999999964,4.136999999999983,5.514599999999999,-4.8509999999999875,7.568399999999987,7.186200000000001,8.551200000000009,9.416400000000007,13.0452,10.042200000000014,,6.905399999999996,7.377299999999995,-4.8509999999999875,13.099800000000004
4,5.854799999999989,12.704999999999972,3.7884000000000118,7.94220000000003,5.560800000000002,4.2713999999999865,4.8467999999999885,-5.984999999999994,7.3415999999999935,7.1903999999999915,8.001000000000005,8.98379999999999,13.154400000000006,10.164000000000001,,6.701399999999999,7.265999999999993,-5.984999999999994,13.154400000000006
5,6.4637999999999876,12.45719999999999,4.2923999999999936,7.509599999999994,5.711999999999969,4.691400000000015,5.485200000000011,-5.707800000000015,7.370999999999981,6.6906,7.711199999999971,8.652000000000017,13.250999999999987,10.050599999999992,,6.759299999999993,7.03079999999999,-5.707800000000015,13.250999999999987
6,5.976599999999967,12.318599999999996,4.107599999999977,8.034599999999983,5.594399999999999,5.216400000000004,5.1996000000000056,-4.787999999999995,7.828800000000014,7.459199999999998,7.6188,7.874999999999981,13.872599999999991,9.9834,,6.878399999999994,7.539,-4.787999999999995,13.872599999999991
7,6.262199999999991,12.453000000000017,3.8724000000000025,9.021600000000014,4.955999999999996,5.275199999999979,4.90140000000001,-4.729199999999992,6.76200000000002,6.505800000000002,7.790999999999991,8.009400000000003,13.599600000000013,10.0044,,6.763200000000004,6.633900000000011,-4.729199999999992,13.599600000000013
8,6.547800000000016,12.406799999999976,3.8051999999999913,9.118200000000012,5.216400000000003,5.4515999999999964,4.199999999999985,-5.409599999999992,6.018599999999981,6.652799999999995,7.497000000000023,8.895600000000046,14.141399999999981,9.82380000000001,,6.740400000000001,6.600300000000005,-5.409599999999992,14.141399999999981
9,6.577199999999984,12.238799999999994,4.1958000000000135,9.189599999999995,4.91819999999999,4.9098000000000095,4.409999999999999,-6.925800000000002,6.623400000000007,6.77879999999998,7.589400000000013,9.286200000000012,14.490000000000009,9.798600000000004,,6.720000000000001,6.701099999999993,-6.925800000000002,14.490000000000009
